company_email,company_name,company_id,instrument_type,regulatory_body,sector_name,security_name,status,symbol,website
prakash.basukala@nabilbank.com,Nabil Bank Limited,131,Equity,Nepal Rastra Bank,Commercial Banks,Nabil Bank Limited,A,NABIL,
deepa@nibl.com.np,Nepal Investment Bank Limited,132,Equity,Nepal Rastra Bank,Commercial Banks,Nepal Investment Bank Limited,S,NIB,http://www.nibl.com.np
Legal.Nepal@sc.com,Standard Chartered Bank Limited,133,Equity,Nepal Rastra Bank,Commercial Banks,Standard Chartered Bank Limited,A,SCB,
bipin.hada@himalayanbank.com,Himalayan Bank Limited,134,Equity,Nepal Rastra Bank,Commercial Banks,Himalayan Bank Limited,S,HBL,
law@nsbl.com.np,Nepal SBI Bank Limited,135,Equity,Nepal Rastra Bank,Commercial Banks,Nepal SBI Bank Limited,A,SBI,
bishwapoudel@nbbl.com.np,Nepal Bangladesh Bank Limited,136,Equity,Nepal Rastra Bank,Commercial Banks,Nepal Bangladesh Bank Limited,A,NBB,
suresh.chapagain@ebl.com.np,Everest Bank Limited,137,Equity,Nepal Rastra Bank,Commercial Banks,Everest Bank Limited,A,EBL,
deepak.gautam@bok.com.np,Bank of Kathmandu Ltd.,138,Equity,Nepal Rastra Bank,Commercial Banks,Bank of Kathmandu Ltd.,A,BOKL,
suraj.shrestha3508@nicasiabank.com,NIC Asia Bank Ltd.,139,Equity,Nepal Rastra Bank,Commercial Banks,NIC Asia Bank Ltd.,A,NICA,
Tika.Bhattarai@mbl.com.np,Machhapuchhre Bank Limited,140,Equity,Nepal Rastra Bank,Commercial Banks,Machhapuchhre Bank Limited,A,MBL,http://www.machbank.com
piyush.aryal@laxmibank.com,Laxmi Bank Limited,141,Equity,Nepal Rastra Bank,Commercial Banks,Laxmi Bank Limited,A,LBL,
narendra.chhatkuli@kumaribank.com,Kumari Bank Limited,142,Equity,Nepal Rastra Bank,Commercial Banks,Kumari Bank Limited,A,KBL,http://www.kumaribank.com
info@lumbinibank.com.np,Lumbini Bank Limited,143,Equity,Nepal Rastra Bank,Commercial Banks,Lumbini Bank Limited,D,LUBL,
corporate@nccbank.com.np,Nepal Credit And Commercial Bank Limited,144,Equity,Nepal Rastra Bank,Commercial Banks,Nepal Credit And Commercial Bank Limited,A,NCCB,http://www.nccbank.com.np
laxman.ghimire@sbl.com.np,Siddhartha Bank Limited,145,Equity,Nepal Rastra Bank,Commercial Banks,Siddhartha Bank Limited,A,SBL,
yhl@yhl.com,Yak And Yeti Hotel Limited,146,Equity,Ministry of Tourism,Hotels And Tourism,Yak And Yeti Hotel Limited,S,YHL,
lbkhatri@soaltee.com.np,Soaltee Hotel Limited,147,Equity,Ministry of Tourism,Hotels And Tourism,Soaltee Hotel Limited,A,SHL,
info@taragaon.com,Taragaon Regency Hotel Limited,148,Equity,Ministry of Tourism,Hotels And Tourism,Taragaon Regency Hotel Limited,A,TRH,
legal@radkat.com.np,Oriental Hotels Limited,149,Equity,Ministry of Tourism,Hotels And Tourism,Oriental Hotels Limited,A,OHL,
esc@esc.com,National Pro. And Eco. Dev. Centre,150,Equity,N/A,Others,National Pro. And Eco. Dev. Centre,D,ESC,
nfd@nfd.com,Nepal Film Development Company Limited,151,Equity,N/A,Others,Nepal Film Development Company Limited,S,NFD,
nhpc@nhpc.com,National Hydro Power Company Limited,152,Equity,Nepal Hydropower Board,Hydro Power,National Hydro Power Company Limited,A,NHPC,
hari.budhathoki@bpc.com.np,Butwal Power Company Limited,153,Equity,Nepal Hydropower Board,Hydro Power,Butwal Power Company Limited,A,BPCL,http://www.bpc.com.np
narayanprasad.acharya@chilime.com.np,Chilime Hydropower Company Limited,154,Equity,Nepal Hydropower Board,Hydro Power,Chilime Hydropower Company Limited,A,CHCL,
legalstcnepal@gmail.com,Salt Trading Corporation,155,Equity,Department of Industry,Tradings,Salt Trading Corporation,A,STC,
info@bishalbazar.com.np,Bishal Bazar Company Limited,156,Equity,Department of Industry,Tradings,Bishal Bazar Company Limited,A,BBC,
nbck@nbck.com,Nepal Byapar Bikash Company(Koshi) Limited,157,Equity,Department of Industry,Tradings,Nepal Byapar Bikash Company(Koshi) Limited,D,NBCK,
ntl@ntl.com,Nepal Tading Limited,158,Equity,Department of Industry,Tradings,Nepal Tading Limited,S,NTL,
nwc@nwc.com,Nepal Welfare Company Limited,159,Equity,Department of Industry,Tradings,Nepal Welfare Company Limited,S,NWC,
nidc@nidc.org.np,NIDC Development Bank Ltd.,160,Equity,Nepal Rastra Bank,Development Banks,NIDC Development Bank Ltd.,D,NIDC,http://www.nidc.org.np
ndb@ndb.com,Nepal Development Bank Limited,161,Equity,Nepal Rastra Bank,Development Banks,Nepal Development Bank Limited,D,NDB,
dcbl@dcbl.com,Grand Bank Nepal Limited,162,Equity,Nepal Rastra Bank,Commercial Banks,Grand Bank Nepal Limited,D,GRAND,
info@nirdhan.com,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,163,Equity,Nepal Rastra Bank,Microfinance,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,A,NUBL,
info@chhimekbank.org,Chhimek Laghubitta Bikas Bank Limited,164,Equity,Nepal Rastra Bank,Microfinance,Chhimek Laghubitta Bikas Bank Limited,A,CBBL,
pbbl@pbbl.com,Paschimanchal Bikash Bank Limited,165,Equity,Nepal Rastra Bank,Development Banks,Paschimanchal Bikash Bank Limited,D,PDBL,
gyanendra.aryal@ddbank.org.np,Deprosc Laghubitta Bittiya Sanstha Limited,166,Equity,Nepal Rastra Bank,Microfinance,Deprosc Laghubitta Bittiya Sanstha Limited,A,DDBL,
hop@gandakibank.com,Gandaki Bikas BankLimited,167,Equity,Nepal Rastra Bank,Development Banks,Gandaki Bikas BankLimited,D,GDBL1,
info@budbank.com.np,Business Universal Development Bank Ltd.,168,Equity,Nepal Rastra Bank,Development Banks,Business Universal Development Bank Ltd.,D,BUDBL,http://www.budbank.com.np
info@sdbl.com.np,Siddhartha Development Bank Ltd.,169,Equity,Nepal Rastra Bank,Development Banks,Siddhartha Development Bank Ltd.,D,SDBL,
vbb@vbb.com,Bhrikuti Vikash Bank Limited,170,Equity,Nepal Rastra Bank,Development Banks,Bhrikuti Vikash Bank Limited,D,BBBL,
RUDRA@sanimabank.com,Sanima Bank Limited,171,Equity,Nepal Rastra Bank,Commercial Banks,Sanima Bank Limited,A,SANIMA,
info@ndbl.com.np,Narayani Development Bank Limited,172,Equity,Nepal Rastra Bank,Development Banks,Narayani Development Bank Limited,A,NABBC,
bdb@bdb.com,Bagheshwori Development Bank Limited,173,Equity,Nepal Rastra Bank,Development Banks,Bagheshwori Development Bank Limited,D,BBBLN,
sahayogibank@yahoo.com,Sahayogi Bikas Bank Limited,174,Equity,Nepal Rastra Bank,Development Banks,Sahayogi Bikas Bank Limited,D,SBBLJ,http://www.sahayogibank.com.np
info@gdbl.com.np,Gurkha Development Bank Limited,175,Equity,Nepal Rastra Bank,Development Banks,Gurkha Development Bank Limited,D,GDBNL,http://www.gdbl.com.np
legal@nepalinsurance.com.np,Nepal Insurance Co. Ltd.,176,Equity,Nepal Insurance Board,Non Life Insurance,Nepal Insurance Co. Ltd.,A,NICL,
niranjan.acharya@rbcl.gov.np,Rastriya Beema Company Limited,177,Equity,Nepal Insurance Board,Non Life Insurance,Rastriya Beema Company Limited,A,RBCL,
it@nationallife.com.np,National Life Insurance Co. Ltd.,178,Equity,Nepal Insurance Board,Life Insurance,National Life Insurance Co. Ltd.,A,NLICL,
dhruba@hgi.com.np,Himalayan General Insurance Co. Ltd,179,Equity,Nepal Insurance Board,Non Life Insurance,Himalayan General Insurance Co. Ltd,A,HGI,
bidur@unitedinsurance.com.np,United Insurance Co. (Nepal) Ltd.,180,Equity,Nepal Insurance Board,Non Life Insurance,United Insurance Co. (Nepal) Ltd.,A,UIC,
pradip@eic.com.np,Everest Insurance Co. Ltd.,181,Equity,Nepal Insurance Board,Non Life Insurance,Everest Insurance Co. Ltd.,A,EIC,
premier@picl.com.np,Premier Insurance Co. Ltd.,182,Equity,Nepal Insurance Board,Non Life Insurance,Premier Insurance Co. Ltd.,A,PIC,
bishnu@neco.com.np,Neco Insurance Co. Ltd.,183,Equity,Nepal Insurance Board,Non Life Insurance,Neco Insurance Co. Ltd.,A,NIL,http://www.necoinsurance.com.np
