,S.N.,Symbol,Buyer,Seller,Quantity,Rate,Amount
0,1,API,57,16,36,450.0,16200.0
1,1,API,38,16,37,450.0,16650.0
2,1,API,51,16,100,450.0,45000.0
3,1,API,32,16,327,450.0,147150.0
4,1,UPPER,53,48,50,760.0,38000.0
5,1,GMFIL,58,32,40,560.0,22400.0
6,1,SGI,47,55,10,797.0,7970.0
7,1,MDB,5,55,300,624.0,187200.0
8,1,MDB,21,55,10,625.0,6250.0
9,1,GILB,59,48,68,2800.0,190400.0
10,1,NHPC,26,14,50,304.0,15200.0
11,1,PRVU,13,45,50,476.0,23800.0
12,1,SHL,41,8,200,289.0,57800.0
13,1,SABSL,53,41,40,1775.0,71000.0
14,1,EBL,44,54,283,772.0,218476.0
15,1,MEGA,45,48,137,388.0,53156.0
16,1,MEGA,19,48,250,388.0,97000.0
17,1,MEGA,37,48,100,388.0,38800.0
18,1,MEGA,7,48,10,388.0,3880.0
19,1,MEGA,52,48,413,388.0,160244.0
20,1,MEGA,42,48,90,389.0,35010.0
21,1,GLICL,21,40,100,824.0,82400.0
22,1,GLICL,4,25,400,825.0,330000.0
23,1,PLIC,53,34,500,1060.0,530000.0
24,1,LBL,58,45,45,429.0,19305.0
25,1,KKHC,42,26,16,306.0,4896.0
26,1,RLI,47,13,10,714.0,7140.0
27,1,PLI,55,45,20,818.0,16360.0
28,1,KBL,41,59,175,397.0,69475.0
29,1,KBL,51,59,25,397.0,9925.0
30,1,HDHPC,57,59,100,305.0,30500.0
31,1,GLICL,4,39,100,825.0,82500.0
32,1,JFL,50,51,500,470.0,235000.0
33,1,MEN,1,45,10,944.0,9440.0
34,1,ADBL,33,22,20,495.0,9900.0
35,1,EDBL,25,58,250,820.0,205000.0
36,1,API,32,17,80,450.0,36000.0
37,1,API,50,17,50,451.0,22550.0
38,1,NBB,59,57,298,424.0,126352.0
39,1,NBB,59,20,202,424.0,85648.0
40,1,NABIL,33,6,10,1320.0,13200.0
41,1,NABIL,6,6,70,1320.0,92400.0
42,1,NABIL,45,6,70,1321.0,92470.0
43,1,NABIL,6,6,68,1321.0,89828.0
44,1,GBIME,32,42,33,457.0,15081.0
45,1,GBIME,32,25,10,457.0,4570.0
46,1,RHPL,8,45,70,517.0,36190.0
47,1,ICFC,13,21,30,654.0,19620.0
48,1,CFCL,43,34,24,454.0,10896.0
49,1,CFCL,43,35,76,450.0,34200.0
50,1,AHPC,7,17,30,534.0,16020.0
51,1,AHPC,7,54,120,534.0,64080.0
52,1,AHPC,7,7,350,534.0,186900.0
53,1,GBIME,29,25,100,457.0,45700.0
54,1,MEGA,28,59,38,390.0,14820.0
55,1,MEGA,28,38,962,390.0,375180.0
56,1,MPFL,47,35,34,410.0,13940.0
57,1,HIDCL,8,18,27,424.0,11448.0
58,1,HIDCL,35,18,73,425.0,31025.0
59,1,SJCL,49,21,20,470.0,9400.0
60,1,SJCL,49,44,260,470.0,122200.0
61,1,SJCL,21,44,240,470.0,112800.0
62,1,GBBL,45,35,500,550.0,275000.0
63,1,CBL,47,10,16,298.0,4768.0
64,1,NHPC,26,58,100,304.0,30400.0
65,1,SHIVM,7,42,50,1579.0,78950.0
66,1,AIL,52,6,10,885.0,8850.0
67,1,CBBL,19,11,65,1780.0,115700.0
68,1,JBBL,48,14,112,497.0,55664.0
69,1,JBBL,38,14,500,497.0,248500.0
70,1,JBBL,38,14,367,497.0,182399.0
71,1,JBBL,41,14,100,498.0,49800.0
72,1,JBBL,38,14,10,498.0,4980.0
73,1,NGPL,53,58,14,530.0,7420.0
74,1,NGPL,53,42,110,530.0,58300.0
75,1,PMHPL,22,17,10,317.0,3170.0
76,1,NLIC,6,36,100,2090.0,209000.0
